customer_id,total_spent
44.0,27947.469999999998
10.0,25054.400000000005
204.0,24745.460000000003
114.0,24156.379999999997
335.0,22803.449999999997
33.0,21564.059999999998
208.0,21129.75
111.0,20527.57
323.0,20349.010000000002
89.0,20332.379999999997
262.0,18700.250000000004
71.0,18465.23
22.0,18095.510000000002
152.0,17727.519999999997
6.0,17543.760000000002
124.0,17243.45
289.0,16818.8
169.0,16291.25
226.0,16268.09
12.0,16165.39
128.0,15944.29
307.0,15825.6
333.0,15782.58
315.0,15746.5
276.0,15352.319999999998
171.0,15002.490000000002
125.0,14944.500000000002
246.0,14929.09
242.0,14688.970000000001
294.0,14683.259999999998
225.0,14593.510000000002
61.0,14567.29
88.0,14558.56
249.0,14112.950000000003
170.0,13981.260000000002
16.0,13952.71
49.0,13481.210000000001
96.0,13426.619999999999
135.0,13227.93
275.0,13000.19
282.0,12909.91
56.0,12665.199999999997
77.0,12640.980000000001
168.0,12636.95
1.0,12635.810000000001
300.0,12217.34
338.0,12165.63
237.0,12107.68
325.0,11983.74
164.0,11878.28
312.0,11685.68
256.0,11618.14
340.0,11571.65
229.0,11493.27
32.0,11364.61
35.0,11287.3
144.0,11213.239999999998
331.0,11026.57
270.0,10977.369999999999
39.0,10850.93
349.0,10711.34
345.0,10653.21
316.0,10550.039999999999
78.0,10476.11
221.0,10415.05
347.0,10400.460000000001
215.0,10388.92
280.0,10324.29
112.0,10264.060000000001
202.0,10043.380000000001
301.0,9989.02
165.0,9910.29
148.0,9881.71
306.0,9762.1
139.0,9553.69
23.0,9166.11
66.0,9127.02
70.0,9118.8
158.0,9038.3
110.0,9021.58
255.0,8979.36
120.0,8868.1
47.0,8837.6
11.0,8769.67
217.0,8768.51
73.0,8690.77
162.0,8604.77
156.0,8552.33
220.0,8548.39
103.0,8524.390000000001
91.0,8491.68
140.0,8477.54
213.0,8455.439999999999
132.0,8401.99
230.0,8368.0
273.0,8263.4
284.0,8253.67
298.0,8153.33
30.0,8125.59
45.0,8106.960000000001
9.0,8098.58
28.0,7904.52
328.0,7812.469999999999
219.0,7779.539999999999
123.0,7674.94
161.0,7670.13
309.0,7661.81
291.0,7505.74
181.0,7388.4
90.0,7355.57
286.0,7302.309999999999
192.0,7269.480000000001
166.0,7141.16
58.0,7128.300000000001
41.0,7085.59
200.0,6947.41
48.0,6940.11
87.0,6927.67
207.0,6754.39
253.0,6738.88
43.0,6563.68
198.0,6493.33
184.0,6369.92
329.0,6347.43
247.0,6283.3099999999995
127.0,6268.59
40.0,6227.52
176.0,6184.23
314.0,6124.049999999999
182.0,6098.139999999999
203.0,6054.94
317.0,6023.280000000001
293.0,5946.24
80.0,5941.67
251.0,5874.889999999999
72.0,5742.15
19.0,5695.41
20.0,5600.33
31.0,5578.82
98.0,5498.29
265.0,5464.68
295.0,5397.56
65.0,5349.21
224.0,5329.44
303.0,5290.28
320.0,5278.62
283.0,5197.87
25.0,5142.01
150.0,5130.12
147.0,5101.53
173.0,5055.4
149.0,4971.27
105.0,4826.96
302.0,4820.3099999999995
59.0,4613.04
143.0,4556.25
279.0,4464.88
193.0,4435.4
154.0,4376.02
337.0,4347.4
74.0,4344.6900000000005
60.0,4328.96
55.0,4323.639999999999
94.0,4226.1
46.0,4219.04
310.0,4161.0
271.0,4025.56
172.0,3941.8199999999997
145.0,3921.4500000000003
343.0,3872.96
113.0,3866.6399999999994
257.0,3774.7999999999997
212.0,3748.92
183.0,3737.38
93.0,3666.0299999999997
232.0,3605.3900000000003
119.0,3497.73
179.0,3138.69
322.0,3127.62
52.0,3084.84
281.0,3084.25
346.0,3019.65
100.0,2881.13
274.0,2817.4
206.0,2782.56
36.0,2728.52
67.0,2721.65
2.0,2713.7
287.0,2690.9000000000005
62.0,2689.56
196.0,2670.59
29.0,2628.0600000000004
297.0,2597.55
214.0,2596.19
231.0,2453.93
5.0,2411.51
177.0,2345.75
233.0,2214.6
86.0,2181.2
336.0,2109.28
264.0,2098.0299999999997
159.0,2049.81
263.0,2037.3
223.0,2026.24
339.0,2025.66
244.0,1965.76
330.0,1879.03
42.0,1856.04
326.0,1664.4
53.0,1661.08
160.0,1655.7800000000002
27.0,1627.5
106.0,1605.0500000000002
146.0,1590.6299999999999
197.0,1468.29
189.0,1448.4299999999998
174.0,1435.02
68.0,1422.99
201.0,1382.46
109.0,1363.31
191.0,1248.83
234.0,1245.9099999999999
134.0,1245.81
4.0,1206.74
228.0,1197.52
259.0,1188.2
348.0,1027.9
133.0,1001.64
250.0,1001.64
227.0,969.96
188.0,953.84
252.0,845.56
79.0,790.1999999999999
248.0,765.1800000000001
236.0,683.17
199.0,560.45
278.0,557.8
137.0,493.35
327.0,493.35
254.0,411.2
180.0,237.20999999999998
116.0,224.18
186.0,211.39
141.0,158.14
235.0,45.37
